transaction_id,employee_id,employee_name,date,vendor,category,amount,manager_name,department,payment_method,location,synthetic_anomaly
TX000001,EMP001,Aarav,2026-07-05,TravelDesk,Equipment,13760.1,Manager A,Operations,Card,Mumbai,False
TX000002,EMP003,Kabir,2026-08-23,CloudWorks,Equipment,20767.04,Manager B,Finance,UPI,Delhi,False
TX000003,EMP003,Kabir,2026-03-30,CloudWorks,Travel,24666.75,Manager A,Operations,Bank Transfer,Delhi,False
TX000004,EMP003,Kabir,2026-02-24,EquipHub,Office,22212.5,Manager B,Operations,Card,Bengaluru,False
TX000005,EMP001,Aarav,2026-07-01,OfficeMart,Equipment,15914.42,Manager A,Operations,UPI,Varanasi,False
TX000006,EMP004,Ishita,2026-02-16,TravelDesk,Office,23193.86,Manager B,Finance,UPI,Bengaluru,False
TX000007,EMP005,Rohan,2026-06-28,TravelDesk,Software,17561.51,Manager B,Engineering,Card,Delhi,False
TX000008,EMP004,Ishita,2026-02-15,CloudWorks,Software,19316.32,Manager A,Finance,Bank Transfer,Bengaluru,False
TX000009,EMP005,Rohan,2026-04-15,CloudWorks,Equipment,23258.93,Manager A,Operations,UPI,Delhi,False
TX000010,EMP005,Rohan,2026-03-11,CloudWorks,Office,25228.57,Manager B,Finance,UPI,Mumbai,False
TX000011,EMP004,Ishita,2026-07-08,TravelDesk,Travel,23787.73,Manager A,Operations,Bank Transfer,Delhi,False
TX000012,EMP003,Kabir,2026-05-17,TechSupply,Office,18349.15,Manager A,Operations,Bank Transfer,Delhi,False
TX000013,EMP005,Rohan,2026-05-16,TravelDesk,Travel,17990.69,Manager B,Engineering,Card,Bengaluru,False
TX000014,EMP004,Ishita,2026-03-14,TechSupply,Software,17907.65,Manager B,Finance,Card,Delhi,False
TX000015,EMP005,Rohan,2026-07-24,EquipHub,Office,13200.28,Manager B,Finance,UPI,Delhi,False
TX000016,EMP003,Kabir,2026-06-08,TravelDesk,Equipment,17436.48,Manager B,Engineering,Bank Transfer,Delhi,False
TX000017,EMP003,Kabir,2026-07-15,TechSupply,Office,16028.44,Manager A,Finance,UPI,Bengaluru,False
TX000018,EMP004,Ishita,2026-04-21,EquipHub,Travel,17183.59,Manager B,Finance,Bank Transfer,Bengaluru,False
TX000019,EMP003,Kabir,2026-04-18,TechSupply,Software,19409.09,Manager B,Engineering,Bank Transfer,Delhi,False
TX000020,EMP005,Rohan,2026-01-22,TechSupply,Equipment,12063.8,Manager A,Operations,Bank Transfer,Bengaluru,False
TX000021,EMP003,Kabir,2026-03-05,TechSupply,Equipment,27795.37,Manager A,Operations,UPI,Delhi,False
TX000022,EMP004,Ishita,2026-03-07,TravelDesk,Equipment,14299.87,Manager A,Engineering,UPI,Mumbai,False
TX000023,EMP004,Ishita,2026-03-15,TravelDesk,Office,21426.41,Manager A,Operations,Card,Varanasi,False
TX000024,EMP003,Kabir,2026-06-22,TechSupply,Travel,21396.06,Manager A,Engineering,Card,Bengaluru,False
TX000025,EMP004,Ishita,2026-01-21,CloudWorks,Office,21075.65,Manager A,Engineering,Card,Delhi,False
TX000026,EMP004,Ishita,2026-02-04,OfficeMart,Travel,28779.82,Manager B,Finance,Card,Varanasi,False
TX000027,EMP005,Rohan,2026-05-20,CloudWorks,Travel,11739.88,Manager A,Finance,Card,Varanasi,False
TX000028,EMP003,Kabir,2026-04-26,OfficeMart,Office,21881.08,Manager A,Engineering,UPI,Delhi,False
TX000029,EMP003,Kabir,2026-08-14,TravelDesk,Software,14062.77,Manager B,Finance,UPI,Delhi,False
TX000030,EMP003,Kabir,2026-05-05,TechSupply,Office,16327.42,Manager A,Operations,Card,Varanasi,False
TX000031,EMP003,Kabir,2026-02-03,TechSupply,Office,13786.08,Manager B,Operations,Card,Delhi,False
TX000032,EMP002,Meera,2026-06-08,EquipHub,Equipment,30607.58,Manager A,Finance,Bank Transfer,Varanasi,False
TX000033,EMP005,Rohan,2026-02-25,OfficeMart,Travel,14209.3,Manager B,Engineering,Card,Varanasi,False
TX000034,EMP003,Kabir,2026-07-13,TechSupply,Equipment,14582.44,Manager B,Finance,Bank Transfer,Bengaluru,False
TX000035,EMP005,Rohan,2026-03-03,OfficeMart,Office,16071.27,Manager B,Finance,Card,Delhi,False
TX000036,EMP005,Rohan,2026-08-27,OfficeMart,Travel,21035.53,Manager B,Operations,Card,Varanasi,False
TX000037,EMP001,Aarav,2026-05-05,OfficeMart,Equipment,27836.01,Manager A,Engineering,Bank Transfer,Delhi,False
TX000038,EMP005,Rohan,2026-01-23,TechSupply,Software,29214.54,Manager A,Operations,UPI,Mumbai,False
TX000039,EMP001,Aarav,2026-01-30,EquipHub,Office,30341.99,Manager B,Finance,Bank Transfer,Bengaluru,False
TX000040,EMP004,Ishita,2026-07-29,TechSupply,Software,28432.29,Manager B,Operations,Card,Varanasi,False
TX000041,EMP003,Kabir,2026-05-01,EquipHub,Office,19019.34,Manager A,Finance,Card,Mumbai,False
TX000042,EMP001,Aarav,2026-06-12,TechSupply,Travel,7698.97,Manager B,Operations,UPI,Bengaluru,False
TX000043,EMP003,Kabir,2026-02-17,OfficeMart,Travel,17995.26,Manager A,Operations,UPI,Mumbai,False
TX000044,EMP003,Kabir,2026-01-30,OfficeMart,Software,22931.09,Manager B,Finance,Card,Delhi,False
TX000045,EMP003,Kabir,2026-06-09,TravelDesk,Software,28024.39,Manager B,Operations,Bank Transfer,Mumbai,False
TX000046,EMP003,Kabir,2026-05-14,EquipHub,Office,238286.58838802236,Manager B,Finance,UPI,Delhi,True
TX000047,EMP001,Aarav,2026-08-20,OfficeMart,Equipment,31261.07,Manager B,Operations,Bank Transfer,Delhi,False
TX000048,EMP004,Ishita,2026-07-08,CloudWorks,Office,21893.63,Manager A,Operations,Card,Varanasi,False
TX000049,EMP003,Kabir,2026-02-25,CloudWorks,Travel,19024.0,Manager B,Operations,UPI,Bengaluru,False
TX000050,EMP002,Meera,2026-04-10,OfficeMart,Travel,14738.84,Manager B,Operations,Card,Delhi,False
TX000051,EMP003,Kabir,2026-03-01,EquipHub,Travel,12275.46,Manager B,Operations,UPI,Mumbai,False
TX000052,EMP005,Rohan,2026-01-16,TechSupply,Office,17790.51,Manager A,Operations,Card,Delhi,False
TX000053,EMP005,Rohan,2026-02-04,TravelDesk,Office,24664.03,Manager A,Finance,Bank Transfer,Mumbai,False
TX000054,EMP003,Kabir,2026-01-28,CloudWorks,Office,18570.96,Manager A,Finance,UPI,Mumbai,False
TX000055,EMP003,Kabir,2026-05-22,EquipHub,Software,26076.29,Manager B,Finance,UPI,Bengaluru,False
TX000056,EMP004,Ishita,2026-07-30,TravelDesk,Office,15670.65,Manager A,Finance,UPI,Mumbai,False
TX000057,EMP002,Meera,2026-03-01,EquipHub,Software,29440.13,Manager A,Finance,Card,Delhi,False
TX000058,EMP005,Rohan,2026-05-06,OfficeMart,Equipment,13325.53,Manager A,Finance,Bank Transfer,Varanasi,False
TX000059,EMP004,Ishita,2026-01-24,EquipHub,Equipment,25564.63,Manager A,Operations,Card,Varanasi,False
TX000060,EMP003,Kabir,2026-07-07,CloudWorks,Equipment,20314.8,Manager B,Finance,UPI,Bengaluru,False
TX000061,EMP002,Meera,2026-05-04,EquipHub,Software,28828.95,Manager B,Engineering,UPI,Bengaluru,False
TX000062,EMP002,Meera,2026-03-05,TravelDesk,Software,17768.51,Manager A,Engineering,Bank Transfer,Mumbai,False
