transaction_id,employee_id,employee_name,date,vendor,category,amount,manager_name,department,payment_method,location,synthetic_anomaly
TX000001,EMP001,Aarav,2026-06-28,TravelDesk,Software,20584.71,Manager A,Finance,Card,Varanasi,False
TX000002,EMP002,Meera,2026-03-18,TravelDesk,Equipment,15595.38,Manager A,Engineering,Bank Transfer,Mumbai,False
TX000003,EMP002,Meera,2026-06-30,EquipHub,Travel,23557.49,Manager B,Operations,Card,Bengaluru,False
TX000004,EMP002,Meera,2026-04-15,TravelDesk,Travel,29614.86,Manager A,Operations,Bank Transfer,Mumbai,False
TX000005,EMP001,Aarav,2026-05-27,TravelDesk,Travel,24136.05,Manager B,Finance,Bank Transfer,Varanasi,False
TX000006,EMP005,Rohan,2026-08-18,OfficeMart,Travel,15853.49,Manager B,Operations,Bank Transfer,Bengaluru,False
TX000007,EMP004,Ishita,2026-05-12,TechSupply,Software,16810.12,Manager A,Operations,UPI,Varanasi,False
TX000008,EMP001,Aarav,2026-07-24,TravelDesk,Software,17224.65,Manager B,Engineering,UPI,Varanasi,False
TX000009,EMP003,Kabir,2026-08-15,TechSupply,Office,25095.99,Manager A,Engineering,Card,Mumbai,False
TX000010,EMP005,Rohan,2026-01-07,TravelDesk,Equipment,15421.36,Manager A,Engineering,Card,Mumbai,False
TX000011,EMP004,Ishita,2026-08-15,OfficeMart,Travel,13324.42,Manager A,Engineering,UPI,Bengaluru,False
TX000012,EMP001,Aarav,2026-05-16,TechSupply,Software,20248.04,Manager A,Finance,Card,Varanasi,False
TX000013,EMP002,Meera,2026-04-27,CloudWorks,Equipment,15574.93,Manager B,Operations,UPI,Delhi,False
TX000014,EMP004,Ishita,2026-01-16,TravelDesk,Travel,23523.23,Manager A,Engineering,Card,Varanasi,False
TX000015,EMP003,Kabir,2026-01-11,OfficeMart,Travel,24115.62,Manager B,Engineering,Card,Delhi,False
TX000016,EMP002,Meera,2026-01-14,EquipHub,Office,18479.72,Manager B,Operations,Bank Transfer,Bengaluru,False
TX000017,EMP001,Aarav,2026-06-18,TravelDesk,Office,17480.43,Manager A,Operations,Card,Delhi,False
TX000018,EMP003,Kabir,2026-08-07,TechSupply,Travel,23397.01,Manager A,Operations,Card,Delhi,False
TX000019,EMP002,Meera,2026-03-12,CloudWorks,Office,11727.55,Manager A,Finance,UPI,Bengaluru,False
