transaction_id,employee_id,employee_name,date,vendor,category,amount,manager_name,department,payment_method,location,synthetic_anomaly
TX000001,EMP003,Kabir,2026-06-06,TravelDesk,Office,24069.07,Manager A,Operations,Bank Transfer,Bengaluru,False
TX000002,EMP005,Rohan,2026-02-23,TechSupply,Software,20099.94,Manager A,Engineering,Bank Transfer,Delhi,False
TX000003,EMP001,Aarav,2026-08-18,OfficeMart,Software,19269.06,Manager B,Finance,UPI,Delhi,False
TX000004,EMP003,Kabir,2026-01-01,TravelDesk,Equipment,16302.99,Manager A,Operations,Bank Transfer,Bengaluru,False
TX000005,EMP003,Kabir,2026-04-27,EquipHub,Travel,15645.68,Manager B,Operations,UPI,Varanasi,False
TX000006,EMP001,Aarav,2026-01-09,EquipHub,Equipment,25890.32,Manager A,Finance,Card,Delhi,False
TX000007,EMP005,Rohan,2026-03-14,CloudWorks,Office,22377.76,Manager B,Engineering,Card,Bengaluru,False
TX000008,EMP004,Ishita,2026-01-29,CloudWorks,Travel,9133.65,Manager A,Finance,Bank Transfer,Delhi,False
TX000009,EMP002,Meera,2026-04-10,CloudWorks,Travel,15123.95,Manager B,Finance,UPI,Bengaluru,False
TX000010,EMP005,Rohan,2026-01-20,OfficeMart,Equipment,21065.43,Manager A,Finance,Bank Transfer,Mumbai,False
TX000011,EMP001,Aarav,2026-03-18,CloudWorks,Travel,23843.49,Manager B,Finance,Bank Transfer,Mumbai,False
TX000012,EMP001,Aarav,2026-07-22,EquipHub,Travel,25798.34,Manager B,Operations,Bank Transfer,Varanasi,False
TX000013,EMP001,Aarav,2026-07-26,OfficeMart,Office,13282.25,Manager A,Finance,Card,Delhi,False
TX000014,EMP005,Rohan,2026-05-26,EquipHub,Equipment,21866.59,Manager B,Operations,UPI,Delhi,False
TX000015,EMP001,Aarav,2026-01-30,EquipHub,Equipment,19965.52,Manager A,Operations,Card,Bengaluru,False
TX000016,EMP003,Kabir,2026-06-08,EquipHub,Travel,13915.98,Manager A,Engineering,Card,Delhi,False
TX000017,EMP004,Ishita,2026-04-06,EquipHub,Equipment,34196.48,Manager A,Engineering,UPI,Varanasi,False
TX000018,EMP003,Kabir,2026-05-01,TravelDesk,Travel,19146.81,Manager B,Operations,Bank Transfer,Mumbai,False
TX000019,EMP002,Meera,2026-08-11,CloudWorks,Software,29300.09,Manager B,Operations,Card,Bengaluru,False
TX000020,EMP003,Kabir,2026-03-10,TravelDesk,Equipment,16626.45,Manager B,Engineering,Bank Transfer,Varanasi,False
TX000021,EMP004,Ishita,2026-08-21,TravelDesk,Travel,18412.04,Manager A,Finance,UPI,Mumbai,False
TX000022,EMP005,Rohan,2026-07-05,EquipHub,Software,15549.0,Manager A,Finance,UPI,Delhi,False
TX000023,EMP004,Ishita,2026-04-19,OfficeMart,Equipment,21121.16,Manager A,Operations,Bank Transfer,Varanasi,False
TX000024,EMP004,Ishita,2026-07-02,OfficeMart,Equipment,16256.95,Manager B,Engineering,UPI,Delhi,False
TX000025,EMP001,Aarav,2026-06-12,CloudWorks,Travel,19673.53,Manager A,Engineering,Card,Varanasi,False
TX000026,EMP002,Meera,2026-05-02,EquipHub,Equipment,15378.99,Manager B,Operations,Card,Bengaluru,False
