transaction_id,employee_id,employee_name,date,vendor,category,amount,manager_name,department,payment_method,location,synthetic_anomaly
TX000001,EMP003,Kabir,2026-08-06,TravelDesk,Software,27307.34,Manager A,Engineering,Card,Varanasi,False
TX000002,EMP005,Rohan,2026-01-21,EquipHub,Equipment,19860.36,Manager A,Engineering,Bank Transfer,Bengaluru,False
TX000003,EMP004,Ishita,2026-07-31,CloudWorks,Travel,23151.77,Manager A,Operations,UPI,Mumbai,False
TX000004,EMP005,Rohan,2026-01-26,TechSupply,Software,21415.59,Manager B,Finance,Card,Varanasi,False
TX000005,EMP005,Rohan,2026-01-02,TechSupply,Travel,24763.6,Manager B,Engineering,Card,Bengaluru,False
TX000006,EMP001,Aarav,2026-06-13,EquipHub,Travel,25028.88,Manager B,Engineering,UPI,Varanasi,False
TX000007,EMP005,Rohan,2026-05-30,EquipHub,Software,27049.2,Manager B,Operations,Card,Mumbai,False
TX000008,EMP004,Ishita,2026-03-04,CloudWorks,Travel,18009.05,Manager A,Engineering,Card,Mumbai,False
TX000009,EMP002,Meera,2026-04-22,TravelDesk,Software,20462.27,Manager A,Operations,UPI,Bengaluru,False
TX000010,EMP002,Meera,2026-04-18,EquipHub,Office,27369.96,Manager B,Engineering,Card,Mumbai,False
TX000011,EMP001,Aarav,2026-01-24,TravelDesk,Office,7608.85,Manager A,Operations,Bank Transfer,Bengaluru,False
TX000012,EMP002,Meera,2026-04-22,EquipHub,Software,18501.87,Manager A,Operations,Bank Transfer,Bengaluru,False
TX000013,EMP005,Rohan,2026-07-14,EquipHub,Equipment,19018.17,Manager B,Engineering,Card,Delhi,False
TX000014,EMP004,Ishita,2026-04-01,CloudWorks,Travel,10414.78,Manager B,Finance,UPI,Delhi,False
TX000015,EMP002,Meera,2026-08-12,TravelDesk,Equipment,25828.57,Manager A,Finance,Card,Delhi,False
TX000016,EMP004,Ishita,2026-06-12,CloudWorks,Travel,9718.96,Manager B,Finance,Card,Bengaluru,False
TX000017,EMP001,Aarav,2026-04-19,EquipHub,Software,23073.15,Manager A,Engineering,Card,Bengaluru,False
TX000018,EMP005,Rohan,2026-06-16,TravelDesk,Travel,13030.77,Manager B,Finance,Card,Mumbai,False
TX000019,EMP005,Rohan,2026-08-10,TechSupply,Software,23657.08,Manager A,Finance,Card,Bengaluru,False
TX000020,EMP004,Ishita,2026-04-17,TechSupply,Software,24878.46,Manager A,Operations,Card,Bengaluru,False
TX000021,EMP003,Kabir,2026-05-04,TravelDesk,Office,14801.36,Manager B,Engineering,UPI,Varanasi,False
TX000022,EMP003,Kabir,2026-04-07,OfficeMart,Software,22635.89,Manager B,Engineering,UPI,Mumbai,False
TX000023,EMP001,Aarav,2026-06-29,EquipHub,Equipment,19397.18,Manager B,Finance,Card,Mumbai,False
TX000024,EMP004,Ishita,2026-04-18,CloudWorks,Software,14533.46,Manager B,Engineering,Bank Transfer,Mumbai,False
TX000025,EMP003,Kabir,2026-02-23,OfficeMart,Travel,15173.58,Manager A,Operations,UPI,Delhi,False
TX000026,EMP003,Kabir,2026-02-15,TravelDesk,Office,30772.6,Manager A,Operations,Card,Bengaluru,False
TX000027,EMP002,Meera,2026-07-05,OfficeMart,Software,17065.48,Manager A,Finance,Bank Transfer,Delhi,False
TX000028,EMP005,Rohan,2026-02-03,CloudWorks,Travel,26534.25,Manager A,Finance,UPI,Mumbai,False
TX000029,EMP002,Meera,2026-02-22,TechSupply,Equipment,30630.69,Manager A,Operations,Bank Transfer,Mumbai,False
TX000030,EMP002,Meera,2026-01-04,EquipHub,Office,38030.78,Manager B,Operations,Bank Transfer,Bengaluru,False
TX000031,EMP001,Aarav,2026-02-26,TravelDesk,Equipment,21596.85,Manager A,Finance,Bank Transfer,Bengaluru,False
TX000032,EMP005,Rohan,2026-07-10,CloudWorks,Office,21097.59,Manager A,Engineering,Card,Mumbai,False
TX000033,EMP002,Meera,2026-02-22,CloudWorks,Equipment,9773.88,Manager A,Engineering,Bank Transfer,Bengaluru,False
TX000034,EMP005,Rohan,2026-08-16,CloudWorks,Office,25648.15,Manager A,Operations,Bank Transfer,Bengaluru,False
TX000035,EMP005,Rohan,2026-01-27,EquipHub,Office,14764.3,Manager A,Finance,Bank Transfer,Mumbai,False
TX000036,EMP002,Meera,2026-03-27,OfficeMart,Travel,17601.02,Manager B,Engineering,Card,Bengaluru,False
